"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","7:00.0","7:00.0","1.00","7:00","6:58","139","141","0","1","221","No Weight","300","No Weight","177","","","0.81","","","66","","6:02","181","7:00","7:00"
"2","7:01.3","14:01","1.00","7:01","7:05","144","148","1","1","218","No Weight","228","No Weight","178","","","0.80","","","66","","6:47","181","7:01","7:01"
"3","7:09.2","21:10","1.00","7:09","7:10","146","149","0","1","213","No Weight","223","No Weight","177","","","0.79","","","66","","6:57","182","7:09","7:09"
"4","7:02.8","28:13","1.00","7:03","7:03","148","150","0","0","219","No Weight","385","No Weight","178","","","0.80","","","67","","4:18","184","7:02.8","7:03"
"5","7:15.4","35:29","1.00","7:15","7:18","147","149","0","1","211","No Weight","229","No Weight","178","","","0.77","","","66","","6:47","184","7:15.4","7:15"
"6","7:21.8","42:51","1.00","7:22","7:25","145","148","0","1","208","No Weight","216","No Weight","179","","","0.76","","","64","","7:10","186","7:21","7:21"
"7","7:15.5","50:06","1.00","7:16","7:19","145","147","0","0","210","No Weight","225","No Weight","179","","","0.77","","","65","","7:00","184","7:15.5","7:16"
"8","7:17.1","57:23","1.00","7:17","7:16","147","151","0","1","212","No Weight","230","No Weight","179","","","0.77","","","66","","6:52","184","7:17","7:17"
"9","7:27.0","1:04:50","1.00","7:27","7:30","146","149","0","0","206","No Weight","215","No Weight","178","","","0.75","","","64","","7:12","181","7:27","7:27"
"10","7:21.7","1:12:12","1.00","7:22","7:01","153","164","18","0","234","No Weight","292","No Weight","179","","","0.76","","","71","","7:05","184","7:21.7","7:22"
"11","7:27.3","1:19:39","1.00","7:27","7:18","158","165","14","7","221","No Weight","275","No Weight","175","","","0.77","","","71","","6:35","179","7:27","7:27"
"12","7:21.2","1:27:00","1.00","7:21","7:38","146","151","0","23","201","No Weight","225","No Weight","173","","","0.79","","","60","","6:38","178","7:21","7:21"
"13","7:31.0","1:34:31","1.00","7:31","7:31","150","152","0","1","206","No Weight","227","No Weight","176","","","0.75","","","64","","6:46","181","7:31","7:31"
"14","7:22.2","1:41:54","1.00","7:22","7:22","150","155","2","1","212","No Weight","251","No Weight","176","","","0.77","","","65","","6:41","183","7:22","7:22"
"15","7:29.8","1:49:23","1.00","7:30","7:32","152","154","1","0","207","No Weight","219","No Weight","176","","","0.76","","","64","","7:04","179","7:29.8","7:30"
"16","7:37.4","1:57:01","1.00","7:37","7:38","153","156","0","0","205","No Weight","222","No Weight","174","","","0.76","","","64","","7:17","179","7:37.4","7:37"
