"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1 - 3","20:14","20:14","3.00","6:45","6:47","147","154","0","7","175","262","0.84","7.9","9.3","221","221","3.45","263","4.11","199","5:58","179","20:12","6:44"
"","2","Run","4 - 9","40:22","1:00:36","6.00","6:44","6:45","152","156","1","5","177","260","0.84","7.7","9.3","222","222","3.47","250","3.91","400","6:19","181","40:22","6:44"
"","3","Run","10","7:00.7","1:07:37","1.00","7:01","6:41","158","165","23","1","175","264","0.81","7.7","9.5","241","239","3.73","281","4.39","73","6:38","179","6:59","6:59"
"","4","Run","11 - 25","1:41:05","2:48:42","15.00","6:44","6:46","155","166","41","66","175","261","0.84","7.8","9.3","227","226","3.53","311","4.86","963","6:07","184","1:41:02","6:44"
"","5","Run","26","7:00.9","2:55:43","1.00","7:01","6:58","160","162","4","0","174","265","0.82","7.8","9.5","218","217","3.39","236","3.69","67","6:26","179","7:00","7:00"
"","6","Run","27 - 35","1:05:42","4:01:25","9.00","7:18","7:15","158","168","10","7","163","291","0.83","7.7","9.3","211","201","3.14","305","4.77","594","5:13","181","1:05:41","7:18"
"","7","Run","36","8:24.1","4:09:49","1.00","8:24","8:12","154","167","8","1","148","331","0.79","7.3","9.2","195","175","2.73","304","4.75","65","6:31","179","8:23","8:23"
"","8","Run","37 - 41","36:44","4:46:33","5.00","7:21","7:18","159","173","28","35","161","301","0.83","7.7","9.2","214","205","3.20","298","4.66","328","5:54","181","36:43","7:21"
"","9","Run","42 - 43","10:01","4:56:34","1.60","6:16","6:19","173","182","4","1","177","255","0.89","7.9","8.9","240","240","3.75","273","4.27","111","5:45","184","10:01","6:16"
"","","Cool Down","44","0:26.6","4:57:01","0.08","5:20","5:30","180","181","1","0","178","248","1.00","8.4","8.4","272","280","4.38","296","4.63","5","5:30","181","0:25","5:00"
"","Summary","--","--","4:57:01","4:57:01","42.68","6:58","6:57","156","182","118","123","170","274","0.84","7.8","9.3","221","216","3.38","311","4.86","2,805","5:13","184","4:56:51","6:57"
